client_id,client_name,client_email,client_age,client_gender,client_income,client_state,client_city,rfv_perfil
50,Client_50,client_50@example.com,19,Male,17204,MG,Belo Horizonte,Campeões
51,Client_51,client_51@example.com,22,Male,11478,PR,Curitiba,Perdido
52,Client_52,client_52@example.com,38,Male,6122,SP,São Paulo,Perdido
53,Client_53,client_53@example.com,27,Male,11222,MG,Belo Horizonte,Quase Dormindo
54,Client_54,client_54@example.com,62,Male,15575,MG,Belo Horizonte,Perdido
55,Client_55,client_55@example.com,52,Male,15532,RJ,Rio de Janeiro,Perdido
57,Client_57,client_57@example.com,40,Male,9254,BA,Salvador,Quase Dormindo
58,Client_58,client_58@example.com,33,Male,9758,BA,Salvador,Perdido
59,Client_59,client_59@example.com,55,Female,14527,SP,São Paulo,Perdido
60,Client_60,client_60@example.com,53,Male,13635,RJ,Rio de Janeiro,Não Perder
61,Client_61,client_61@example.com,81,Female,19754,SC,Florianópolis,Campeões
63,Client_63,client_63@example.com,55,Female,18298,SC,Florianópolis,Campeões
64,Client_64,client_64@example.com,46,Male,10292,RJ,Rio de Janeiro,Campeões
66,Client_66,client_66@example.com,38,Male,13267,SP,São Paulo,Perdido
67,Client_67,client_67@example.com,56,Male,6807,PR,Curitiba,Leais
68,Client_68,client_68@example.com,80,Female,9407,SP,São Paulo,Leais
70,Client_70,client_70@example.com,31,Male,3104,MG,Belo Horizonte,Promissor
71,Client_71,client_71@example.com,34,Female,7815,PR,Curitiba,Campeões
73,Client_73,client_73@example.com,30,Male,11941,RS,Porto Alegre,Leais
74,Client_74,client_74@example.com,51,Male,17211,RJ,Rio de Janeiro,Leais
77,Client_77,client_77@example.com,59,Female,19266,MG,Belo Horizonte,Leais
79,Client_79,client_79@example.com,69,Male,8160,SC,Florianópolis,Promissor
82,Client_82,client_82@example.com,53,Female,11460,SP,São Paulo,Campeões
83,Client_83,client_83@example.com,23,Female,12689,RJ,Rio de Janeiro,Leais
84,Client_84,client_84@example.com,54,Male,11519,MG,Belo Horizonte,Leais
86,Client_86,client_86@example.com,51,Female,15424,SP,São Paulo,Perdido
87,Client_87,client_87@example.com,36,Male,9621,BA,Salvador,Leais
90,Client_90,client_90@example.com,37,Female,16774,MG,Belo Horizonte,Leais
91,Client_91,client_91@example.com,64,Male,11822,BA,Salvador,Leais
92,Client_92,client_92@example.com,35,Female,10215,BA,Salvador,Perdido
95,Client_95,client_95@example.com,42,Female,5730,RJ,Rio de Janeiro,Promissor
96,Client_96,client_96@example.com,44,Male,16428,SP,São Paulo,Promissor
97,Client_97,client_97@example.com,43,Male,2310,MG,Belo Horizonte,Atenção
101,Client_101,client_101@example.com,37,Female,8310,SP,São Paulo,Quase Dormindo
102,Client_102,client_102@example.com,33,Male,11412,MG,Belo Horizonte,Não Perder
105,Client_105,client_105@example.com,48,Male,16047,PR,Curitiba,Perdido
109,Client_109,client_109@example.com,35,Female,14838,SC,Florianópolis,Atenção
110,Client_110,client_110@example.com,52,Male,12295,RS,Porto Alegre,Leais
114,Client_114,client_114@example.com,38,Male,13627,RJ,Rio de Janeiro,Promissor
115,Client_115,client_115@example.com,44,Female,8641,SC,Florianópolis,Promissor
116,Client_116,client_116@example.com,27,Male,11523,BA,Salvador,Perdido
117,Client_117,client_117@example.com,52,Male,19708,BA,Salvador,Promissor
118,Client_118,client_118@example.com,65,Male,17691,PR,Curitiba,Leais
119,Client_119,client_119@example.com,42,Female,17107,MG,Belo Horizonte,Campeões
120,Client_120,client_120@example.com,31,Male,6876,PR,Curitiba,Novos
121,Client_121,client_121@example.com,55,Male,8466,BA,Salvador,Leais
122,Client_122,client_122@example.com,69,Female,7556,SP,São Paulo,Leais
125,Client_125,client_125@example.com,70,Female,8446,RS,Porto Alegre,Perdido
126,Client_126,client_126@example.com,53,Male,7983,MG,Belo Horizonte,Quase Dormindo
129,Client_129,client_129@example.com,65,Male,3433,RJ,Rio de Janeiro,Quase Dormindo
130,Client_130,client_130@example.com,34,Female,5195,MG,Belo Horizonte,Leais
131,Client_131,client_131@example.com,50,Female,9838,BA,Salvador,Quase Dormindo
132,Client_132,client_132@example.com,26,Male,15775,RJ,Rio de Janeiro,Perdido
133,Client_133,client_133@example.com,22,Male,3536,SP,São Paulo,Perdido
136,Client_136,client_136@example.com,32,Female,8837,SP,São Paulo,Leais
137,Client_137,client_137@example.com,59,Male,3722,PR,Curitiba,Atenção
140,Client_140,client_140@example.com,42,Male,2658,PR,Curitiba,Campeões
141,Client_141,client_141@example.com,86,Female,12917,SC,Florianópolis,Quase Dormindo
142,Client_142,client_142@example.com,21,Female,11652,RS,Porto Alegre,Atenção
143,Client_143,client_143@example.com,39,Female,16711,RJ,Rio de Janeiro,Campeões
144,Client_144,client_144@example.com,57,Male,8705,SP,São Paulo,Novos
145,Client_145,client_145@example.com,48,Female,11549,SP,São Paulo,Perdido
146,Client_146,client_146@example.com,43,Female,2859,RJ,Rio de Janeiro,Perdido
147,Client_147,client_147@example.com,56,Male,6995,BA,Salvador,Perdido
148,Client_148,client_148@example.com,48,Male,12072,BA,Salvador,Quase Dormindo
149,Client_149,client_149@example.com,61,Female,5013,PR,Curitiba,Campeões
150,Client_150,client_150@example.com,21,Female,2731,SC,Florianópolis,Campeões
153,Client_153,client_153@example.com,35,Male,4901,MG,Belo Horizonte,Perdido
154,Client_154,client_154@example.com,43,Female,7187,RJ,Rio de Janeiro,Perdido
155,Client_155,client_155@example.com,43,Female,10803,RJ,Rio de Janeiro,Perdido
159,Client_159,client_159@example.com,62,Male,14878,RJ,Rio de Janeiro,Campeões
160,Client_160,client_160@example.com,49,Female,13360,PR,Curitiba,Atenção
162,Client_162,client_162@example.com,35,Female,4913,SP,São Paulo,Perdido
163,Client_163,client_163@example.com,31,Male,14453,BA,Salvador,Campeões
165,Client_165,client_165@example.com,32,Female,3072,MG,Belo Horizonte,Perdido
166,Client_166,client_166@example.com,23,Female,6319,BA,Salvador,Em Risco
167,Client_167,client_167@example.com,39,Male,7167,MG,Belo Horizonte,Não Perder
169,Client_169,client_169@example.com,25,Male,2961,RJ,Rio de Janeiro,Campeões
170,Client_170,client_170@example.com,38,Female,2280,RJ,Rio de Janeiro,Novos
171,Client_171,client_171@example.com,40,Female,16105,RJ,Rio de Janeiro,Perdido
172,Client_172,client_172@example.com,41,Male,3439,BA,Salvador,Leais
173,Client_173,client_173@example.com,69,Female,2173,PR,Curitiba,Campeões
174,Client_174,client_174@example.com,56,Female,15040,RS,Porto Alegre,Perdido
177,Client_177,client_177@example.com,55,Female,2564,BA,Salvador,Perdido
178,Client_178,client_178@example.com,52,Female,14508,SC,Florianópolis,Campeões
179,Client_179,client_179@example.com,50,Female,4667,PR,Curitiba,Perdido
180,Client_180,client_180@example.com,75,Male,15084,RJ,Rio de Janeiro,Novos
181,Client_181,client_181@example.com,77,Female,11322,BA,Salvador,Campeões
182,Client_182,client_182@example.com,20,Female,14842,MG,Belo Horizonte,Leais
183,Client_183,client_183@example.com,53,Female,5806,SP,São Paulo,Campeões
184,Client_184,client_184@example.com,49,Male,16478,MG,Belo Horizonte,Quase Dormindo
186,Client_186,client_186@example.com,55,Male,18290,RS,Porto Alegre,Novos
187,Client_187,client_187@example.com,33,Male,10096,BA,Salvador,Em Risco
188,Client_188,client_188@example.com,32,Female,14515,RS,Porto Alegre,Perdido
190,Client_190,client_190@example.com,67,Female,11311,SC,Florianópolis,Novos
191,Client_191,client_191@example.com,40,Female,18881,RS,Porto Alegre,Atenção
192,Client_192,client_192@example.com,33,Male,3024,PR,Curitiba,Atenção
193,Client_193,client_193@example.com,58,Female,4226,SP,São Paulo,Leais
194,Client_194,client_194@example.com,68,Female,18693,RS,Porto Alegre,Leais
195,Client_195,client_195@example.com,50,Male,3690,PR,Curitiba,Campeões
196,Client_196,client_196@example.com,25,Female,3881,MG,Belo Horizonte,Leais
197,Client_197,client_197@example.com,41,Female,17262,SC,Florianópolis,Quase Dormindo
198,Client_198,client_198@example.com,34,Female,5076,RS,Porto Alegre,Perdido
200,Client_200,client_200@example.com,33,Male,10391,RS,Porto Alegre,Quase Dormindo
201,Client_201,client_201@example.com,27,Male,7753,RJ,Rio de Janeiro,Promissor
203,Client_203,client_203@example.com,95,Male,6397,SC,Florianópolis,Perdido
204,Client_204,client_204@example.com,48,Female,6235,SC,Florianópolis,Novos
205,Client_205,client_205@example.com,68,Female,2371,MG,Belo Horizonte,Perdido
206,Client_206,client_206@example.com,28,Male,17623,RJ,Rio de Janeiro,Não Perder
207,Client_207,client_207@example.com,54,Male,4149,MG,Belo Horizonte,Promissor
209,Client_209,client_209@example.com,31,Female,3667,BA,Salvador,Leais
211,Client_211,client_211@example.com,43,Male,17670,MG,Belo Horizonte,Leais
212,Client_212,client_212@example.com,43,Male,15161,RJ,Rio de Janeiro,Promissor
213,Client_213,client_213@example.com,51,Male,15811,MG,Belo Horizonte,Novos
214,Client_214,client_214@example.com,29,Male,9380,RJ,Rio de Janeiro,Campeões
216,Client_216,client_216@example.com,60,Male,11270,RS,Porto Alegre,Promissor
217,Client_217,client_217@example.com,36,Female,19720,SC,Florianópolis,Atenção
220,Client_220,client_220@example.com,32,Male,14953,BA,Salvador,Campeões
221,Client_221,client_221@example.com,41,Male,10696,RJ,Rio de Janeiro,Campeões
222,Client_222,client_222@example.com,22,Female,18197,MG,Belo Horizonte,Campeões
223,Client_223,client_223@example.com,42,Female,8165,PR,Curitiba,Perdido
225,Client_225,client_225@example.com,49,Male,6268,SC,Florianópolis,Atenção
226,Client_226,client_226@example.com,32,Female,3375,SC,Florianópolis,Atenção
227,Client_227,client_227@example.com,70,Female,7614,MG,Belo Horizonte,Atenção
230,Client_230,client_230@example.com,23,Female,10495,BA,Salvador,Não Perder
232,Client_232,client_232@example.com,45,Female,17655,SC,Florianópolis,Campeões
233,Client_233,client_233@example.com,66,Male,9866,PR,Curitiba,Quase Dormindo
234,Client_234,client_234@example.com,56,Male,10675,RS,Porto Alegre,Leais
235,Client_235,client_235@example.com,66,Male,18303,SP,São Paulo,Leais
236,Client_236,client_236@example.com,30,Male,5368,PR,Curitiba,Perdido
237,Client_237,client_237@example.com,32,Male,11621,MG,Belo Horizonte,Campeões
239,Client_239,client_239@example.com,18,Female,12559,SC,Florianópolis,Leais
240,Client_240,client_240@example.com,30,Female,8773,RS,Porto Alegre,Quase Dormindo
241,Client_241,client_241@example.com,49,Female,7814,MG,Belo Horizonte,Perdido
242,Client_242,client_242@example.com,37,Female,13907,RJ,Rio de Janeiro,Atenção
243,Client_243,client_243@example.com,50,Female,5719,SP,São Paulo,Não Perder
244,Client_244,client_244@example.com,35,Male,18862,MG,Belo Horizonte,Perdido
245,Client_245,client_245@example.com,56,Male,10062,RJ,Rio de Janeiro,Campeões
246,Client_246,client_246@example.com,77,Female,9995,MG,Belo Horizonte,Perdido
247,Client_247,client_247@example.com,43,Female,3922,SC,Florianópolis,Leais
249,Client_249,client_249@example.com,57,Male,3926,SP,São Paulo,Campeões
251,Client_251,client_251@example.com,50,Female,5593,BA,Salvador,Perdido
252,Client_252,client_252@example.com,40,Male,18661,SP,São Paulo,Quase Dormindo
253,Client_253,client_253@example.com,38,Female,8542,PR,Curitiba,Quase Dormindo
255,Client_255,client_255@example.com,23,Male,3593,RS,Porto Alegre,Perdido
259,Client_259,client_259@example.com,53,Male,11623,RJ,Rio de Janeiro,Atenção
261,Client_261,client_261@example.com,56,Male,13971,PR,Curitiba,Campeões
263,Client_263,client_263@example.com,61,Female,17741,SP,São Paulo,Campeões
264,Client_264,client_264@example.com,58,Female,13322,PR,Curitiba,Perdido
265,Client_265,client_265@example.com,53,Female,10903,SP,São Paulo,Perdido
266,Client_266,client_266@example.com,25,Male,17785,RJ,Rio de Janeiro,Perdido
267,Client_267,client_267@example.com,82,Female,15931,PR,Curitiba,Não Perder
270,Client_270,client_270@example.com,57,Female,13850,RJ,Rio de Janeiro,Atenção
271,Client_271,client_271@example.com,66,Male,12476,MG,Belo Horizonte,Leais
272,Client_272,client_272@example.com,56,Male,3536,BA,Salvador,Perdido
273,Client_273,client_273@example.com,35,Female,3890,SP,São Paulo,Campeões
275,Client_275,client_275@example.com,46,Female,2957,MG,Belo Horizonte,Campeões
276,Client_276,client_276@example.com,31,Male,14806,SP,São Paulo,Perdido
277,Client_277,client_277@example.com,24,Male,4459,RJ,Rio de Janeiro,Campeões
278,Client_278,client_278@example.com,44,Male,19135,SP,São Paulo,Novos
279,Client_279,client_279@example.com,35,Female,7893,RS,Porto Alegre,Não Perder
280,Client_280,client_280@example.com,25,Female,14119,MG,Belo Horizonte,Perdido
281,Client_281,client_281@example.com,28,Male,9081,SP,São Paulo,Perdido
282,Client_282,client_282@example.com,38,Male,5621,SP,São Paulo,Promissor
283,Client_283,client_283@example.com,29,Male,14989,RJ,Rio de Janeiro,Quase Dormindo
284,Client_284,client_284@example.com,41,Female,8987,RS,Porto Alegre,Promissor
285,Client_285,client_285@example.com,37,Female,14034,BA,Salvador,Promissor
286,Client_286,client_286@example.com,68,Female,9323,RS,Porto Alegre,Quase Dormindo
288,Client_288,client_288@example.com,57,Female,6267,SC,Florianópolis,Leais
289,Client_289,client_289@example.com,47,Female,5598,SC,Florianópolis,Atenção
290,Client_290,client_290@example.com,44,Male,6406,SC,Florianópolis,Leais
293,Client_293,client_293@example.com,41,Male,4004,MG,Belo Horizonte,Leais
295,Client_295,client_295@example.com,41,Female,7666,RS,Porto Alegre,Perdido
296,Client_296,client_296@example.com,66,Female,8609,SP,São Paulo,Campeões
297,Client_297,client_297@example.com,51,Female,11528,SP,São Paulo,Campeões
298,Client_298,client_298@example.com,81,Male,13845,SP,São Paulo,Quase Dormindo
299,Client_299,client_299@example.com,72,Male,9127,BA,Salvador,Atenção
300,Client_300,client_300@example.com,56,Male,18463,MG,Belo Horizonte,Campeões
301,Client_301,client_301@example.com,39,Female,19436,MG,Belo Horizonte,Leais
302,Client_302,client_302@example.com,38,Male,17859,MG,Belo Horizonte,Atenção
303,Client_303,client_303@example.com,57,Female,13945,PR,Curitiba,Leais
305,Client_305,client_305@example.com,59,Female,18271,MG,Belo Horizonte,Não Perder
306,Client_306,client_306@example.com,18,Female,9618,PR,Curitiba,Leais
307,Client_307,client_307@example.com,51,Male,7079,RS,Porto Alegre,Quase Dormindo
308,Client_308,client_308@example.com,31,Male,4321,BA,Salvador,Quase Dormindo
310,Client_310,client_310@example.com,52,Female,10856,RS,Porto Alegre,Quase Dormindo
312,Client_312,client_312@example.com,53,Female,3518,MG,Belo Horizonte,Perdido
313,Client_313,client_313@example.com,50,Male,4225,SC,Florianópolis,Quase Dormindo
314,Client_314,client_314@example.com,50,Female,17378,SP,São Paulo,Campeões
316,Client_316,client_316@example.com,45,Female,18644,MG,Belo Horizonte,Novos
317,Client_317,client_317@example.com,43,Female,19669,RS,Porto Alegre,Promissor
319,Client_319,client_319@example.com,24,Male,3253,SC,Florianópolis,Promissor
320,Client_320,client_320@example.com,34,Male,7820,PR,Curitiba,Leais
321,Client_321,client_321@example.com,47,Male,10599,PR,Curitiba,Promissor
322,Client_322,client_322@example.com,52,Female,13629,RJ,Rio de Janeiro,Quase Dormindo
324,Client_324,client_324@example.com,35,Male,10368,PR,Curitiba,Campeões
325,Client_325,client_325@example.com,74,Female,17833,BA,Salvador,Perdido
326,Client_326,client_326@example.com,43,Male,3751,RS,Porto Alegre,Quase Dormindo
327,Client_327,client_327@example.com,46,Female,6995,BA,Salvador,Promissor
330,Client_330,client_330@example.com,44,Female,5868,PR,Curitiba,Em Risco
331,Client_331,client_331@example.com,41,Female,2281,SP,São Paulo,Campeões
335,Client_335,client_335@example.com,21,Female,15309,BA,Salvador,Promissor
337,Client_337,client_337@example.com,60,Male,8757,BA,Salvador,Campeões
338,Client_338,client_338@example.com,45,Female,4769,PR,Curitiba,Novos
340,Client_340,client_340@example.com,63,Female,7208,SP,São Paulo,Em Risco
342,Client_342,client_342@example.com,59,Female,12096,MG,Belo Horizonte,Leais
343,Client_343,client_343@example.com,33,Female,15186,SP,São Paulo,Leais
346,Client_346,client_346@example.com,53,Male,11311,SC,Florianópolis,Quase Dormindo
347,Client_347,client_347@example.com,76,Female,5058,SP,São Paulo,Promissor
348,Client_348,client_348@example.com,53,Female,8881,BA,Salvador,Campeões
349,Client_349,client_349@example.com,46,Male,14480,SP,São Paulo,Atenção
350,Client_350,client_350@example.com,36,Female,18876,PR,Curitiba,Campeões
353,Client_353,client_353@example.com,58,Female,4912,SC,Florianópolis,Perdido
355,Client_355,client_355@example.com,36,Male,17764,RS,Porto Alegre,Atenção
356,Client_356,client_356@example.com,57,Female,8800,RJ,Rio de Janeiro,Perdido
357,Client_357,client_357@example.com,41,Male,8259,BA,Salvador,Não Perder
360,Client_360,client_360@example.com,41,Male,19229,SP,São Paulo,Leais
361,Client_361,client_361@example.com,38,Female,13785,RS,Porto Alegre,Leais
362,Client_362,client_362@example.com,27,Male,2120,MG,Belo Horizonte,Perdido
364,Client_364,client_364@example.com,61,Male,7053,SP,São Paulo,Em Risco
365,Client_365,client_365@example.com,54,Male,10922,PR,Curitiba,Novos
366,Client_366,client_366@example.com,29,Female,3853,SP,São Paulo,Novos
367,Client_367,client_367@example.com,24,Female,6916,SP,São Paulo,Quase Dormindo
368,Client_368,client_368@example.com,24,Female,19123,BA,Salvador,Perdido
369,Client_369,client_369@example.com,38,Female,8472,RS,Porto Alegre,Perdido
370,Client_370,client_370@example.com,25,Female,19255,RJ,Rio de Janeiro,Não Perder
371,Client_371,client_371@example.com,54,Female,17789,SP,São Paulo,Quase Dormindo
372,Client_372,client_372@example.com,35,Female,13864,RS,Porto Alegre,Leais
373,Client_373,client_373@example.com,54,Female,10033,SP,São Paulo,Campeões
374,Client_374,client_374@example.com,51,Male,10735,MG,Belo Horizonte,Campeões
375,Client_375,client_375@example.com,71,Female,15012,RS,Porto Alegre,Leais
377,Client_377,client_377@example.com,50,Female,17418,MG,Belo Horizonte,Não Perder
378,Client_378,client_378@example.com,58,Male,8478,PR,Curitiba,Perdido
379,Client_379,client_379@example.com,56,Male,12269,MG,Belo Horizonte,Leais
380,Client_380,client_380@example.com,64,Female,15857,PR,Curitiba,Atenção
383,Client_383,client_383@example.com,55,Male,3431,SP,São Paulo,Leais
384,Client_384,client_384@example.com,28,Male,8390,PR,Curitiba,Leais
385,Client_385,client_385@example.com,45,Male,17388,PR,Curitiba,Leais
387,Client_387,client_387@example.com,51,Male,9544,SC,Florianópolis,Perdido
388,Client_388,client_388@example.com,54,Female,6373,BA,Salvador,Perdido
389,Client_389,client_389@example.com,34,Female,3316,MG,Belo Horizonte,Atenção
390,Client_390,client_390@example.com,24,Male,6402,SP,São Paulo,Promissor
391,Client_391,client_391@example.com,48,Male,15384,BA,Salvador,Atenção
392,Client_392,client_392@example.com,34,Female,10564,MG,Belo Horizonte,Quase Dormindo
393,Client_393,client_393@example.com,46,Male,2433,PR,Curitiba,Campeões
394,Client_394,client_394@example.com,18,Female,11935,RS,Porto Alegre,Promissor
395,Client_395,client_395@example.com,42,Male,7953,RJ,Rio de Janeiro,Campeões
396,Client_396,client_396@example.com,39,Female,18123,SC,Florianópolis,Campeões
397,Client_397,client_397@example.com,41,Female,19777,RJ,Rio de Janeiro,Quase Dormindo
398,Client_398,client_398@example.com,58,Female,16858,PR,Curitiba,Não Perder
399,Client_399,client_399@example.com,33,Male,17030,RJ,Rio de Janeiro,Promissor
402,Client_402,client_402@example.com,29,Female,18405,SC,Florianópolis,Novos
404,Client_404,client_404@example.com,43,Female,12990,BA,Salvador,Perdido
405,Client_405,client_405@example.com,41,Female,13261,MG,Belo Horizonte,Promissor
406,Client_406,client_406@example.com,59,Female,13072,SP,São Paulo,Leais
408,Client_408,client_408@example.com,48,Male,17193,SC,Florianópolis,Leais
409,Client_409,client_409@example.com,44,Male,2993,BA,Salvador,Atenção
410,Client_410,client_410@example.com,67,Male,16326,MG,Belo Horizonte,Leais
412,Client_412,client_412@example.com,37,Male,3588,PR,Curitiba,Leais
415,Client_415,client_415@example.com,44,Male,18057,SP,São Paulo,Campeões
418,Client_418,client_418@example.com,33,Female,7388,SC,Florianópolis,Perdido
420,Client_420,client_420@example.com,59,Male,13817,SC,Florianópolis,Promissor
421,Client_421,client_421@example.com,46,Male,4210,RS,Porto Alegre,Em Risco
422,Client_422,client_422@example.com,58,Male,11297,BA,Salvador,Quase Dormindo
423,Client_423,client_423@example.com,31,Male,14877,BA,Salvador,Quase Dormindo
424,Client_424,client_424@example.com,34,Female,2147,BA,Salvador,Quase Dormindo
425,Client_425,client_425@example.com,39,Male,5508,SP,São Paulo,Perdido
426,Client_426,client_426@example.com,42,Female,7679,RS,Porto Alegre,Leais
427,Client_427,client_427@example.com,29,Male,5226,BA,Salvador,Não Perder
428,Client_428,client_428@example.com,44,Female,8103,MG,Belo Horizonte,Perdido
429,Client_429,client_429@example.com,39,Male,17947,RJ,Rio de Janeiro,Leais
431,Client_431,client_431@example.com,41,Female,3293,BA,Salvador,Promissor
432,Client_432,client_432@example.com,39,Female,10181,BA,Salvador,Perdido
433,Client_433,client_433@example.com,29,Male,18799,RJ,Rio de Janeiro,Em Risco
434,Client_434,client_434@example.com,55,Female,8978,SP,São Paulo,Quase Dormindo
435,Client_435,client_435@example.com,35,Other,5081,SC,Florianópolis,Perdido
437,Client_437,client_437@example.com,23,Male,11792,PR,Curitiba,Perdido
439,Client_439,client_439@example.com,35,Female,8687,SP,São Paulo,Leais
441,Client_441,client_441@example.com,41,Female,5268,PR,Curitiba,Novos
443,Client_443,client_443@example.com,25,Male,13741,RJ,Rio de Janeiro,Novos
444,Client_444,client_444@example.com,28,Female,8539,BA,Salvador,Leais
445,Client_445,client_445@example.com,47,Female,9831,BA,Salvador,Perdido
446,Client_446,client_446@example.com,21,Female,17960,PR,Curitiba,Campeões
448,Client_448,client_448@example.com,63,Female,12266,SC,Florianópolis,Perdido
449,Client_449,client_449@example.com,75,Male,2507,BA,Salvador,Campeões
450,Client_450,client_450@example.com,38,Female,19086,MG,Belo Horizonte,Campeões
451,Client_451,client_451@example.com,53,Female,8271,RS,Porto Alegre,Leais
452,Client_452,client_452@example.com,24,Female,13679,RJ,Rio de Janeiro,Quase Dormindo
454,Client_454,client_454@example.com,31,Male,15967,PR,Curitiba,Perdido
457,Client_457,client_457@example.com,43,Female,11885,RS,Porto Alegre,Leais
460,Client_460,client_460@example.com,23,Female,5127,BA,Salvador,Novos
461,Client_461,client_461@example.com,51,Female,4908,RJ,Rio de Janeiro,Quase Dormindo
462,Client_462,client_462@example.com,41,Male,15365,SP,São Paulo,Leais
463,Client_463,client_463@example.com,31,Female,9640,SP,São Paulo,Leais
464,Client_464,client_464@example.com,57,Male,15843,BA,Salvador,Campeões
465,Client_465,client_465@example.com,55,Male,6318,SP,São Paulo,Campeões
466,Client_466,client_466@example.com,36,Male,11344,SP,São Paulo,Leais
467,Client_467,client_467@example.com,21,Female,15969,SP,São Paulo,Perdido
468,Client_468,client_468@example.com,39,Female,9024,MG,Belo Horizonte,Campeões
470,Client_470,client_470@example.com,34,Female,18186,RS,Porto Alegre,Perdido
471,Client_471,client_471@example.com,73,Male,8271,BA,Salvador,Promissor
472,Client_472,client_472@example.com,34,Female,8141,PR,Curitiba,Atenção
473,Client_473,client_473@example.com,44,Male,14757,RJ,Rio de Janeiro,Leais
474,Client_474,client_474@example.com,29,Female,12400,SP,São Paulo,Não Perder
475,Client_475,client_475@example.com,56,Female,14802,RS,Porto Alegre,Leais
476,Client_476,client_476@example.com,44,Male,13652,RS,Porto Alegre,Perdido
479,Client_479,client_479@example.com,24,Male,13552,RS,Porto Alegre,Campeões
480,Client_480,client_480@example.com,29,Male,13752,PR,Curitiba,Leais
482,Client_482,client_482@example.com,39,Female,2368,MG,Belo Horizonte,Perdido
483,Client_483,client_483@example.com,53,Male,3916,BA,Salvador,Leais
484,Client_484,client_484@example.com,58,Female,16458,MG,Belo Horizonte,Promissor
485,Client_485,client_485@example.com,26,Male,15002,PR,Curitiba,Atenção
487,Client_487,client_487@example.com,42,Male,12559,RJ,Rio de Janeiro,Campeões
488,Client_488,client_488@example.com,57,Female,12873,PR,Curitiba,Leais
489,Client_489,client_489@example.com,36,Female,5762,MG,Belo Horizonte,Leais
490,Client_490,client_490@example.com,24,Female,7419,SP,São Paulo,Perdido
492,Client_492,client_492@example.com,59,Male,13281,PR,Curitiba,Campeões
493,Client_493,client_493@example.com,44,Male,19594,PR,Curitiba,Quase Dormindo
494,Client_494,client_494@example.com,23,Other,3726,SP,São Paulo,Novos
495,Client_495,client_495@example.com,62,Female,5321,SC,Florianópolis,Campeões
496,Client_496,client_496@example.com,24,Male,19604,RS,Porto Alegre,Campeões
497,Client_497,client_497@example.com,59,Male,6036,RJ,Rio de Janeiro,Novos
498,Client_498,client_498@example.com,28,Male,5990,RS,Porto Alegre,Leais
500,Client_500,client_500@example.com,25,Female,2272,BA,Salvador,Promissor
